Sensor Name: tty5
Initial Resistance: 89 ohms
Start Time: 2024-11-04 23:30:05
Time (s), Voltage (V)
1.48, 0.0000
1.58, 0.0000
1.68, 0.0000
1.78, 0.0000
1.88, 0.0000
1.98, 0.0000
2.09, 0.0000
2.19, 0.0000
2.29, 0.0000
2.39, 0.0000
2.49, 0.0000
2.59, 0.0000
2.69, 0.0000
2.79, 0.0000
2.89, 0.0000
2.99, 0.0000
3.09, 0.0000
3.20, 0.0000
3.30, 0.0000
3.40, 0.0000
3.51, 0.0000
3.60, 0.0000
3.70, 0.0000
3.80, 0.0000
3.91, 0.0000
4.00, 0.0000
4.11, 0.0000
4.21, 0.0000
4.31, 0.0000
4.41, 0.0000
4.51, 0.0000
4.62, 0.0000
4.72, 0.0000
4.81, 0.0000
4.92, 0.0000
5.02, 0.0000
5.12, 0.0000
5.22, 0.0000
5.32, 0.0000
5.42, 0.0000
5.53, 0.0000
5.63, 0.0000
5.73, 0.0000
5.83, 0.0000
5.92, 0.0000
6.03, 0.0000
6.13, 0.0000
6.23, 0.0000
6.33, 0.0000
6.43, 0.0000
6.53, 0.0000
6.63, 0.0000
6.74, 0.0000
6.84, 0.0000
6.94, 0.0000
7.04, 0.0000
7.14, 0.0000
7.24, 0.0000
7.35, 0.0000
7.45, 0.0000
7.55, 0.0000
7.65, 0.0000
7.75, 0.0000
7.85, 0.0000
7.95, 0.0000
8.05, 0.0000
8.15, 0.0000
8.25, 0.0000
8.36, 0.0000
8.45, 0.0000
8.56, 0.0000
8.66, 0.0049
8.76, 0.0000
8.86, 0.0000
8.96, 0.0000
9.07, 0.0000
9.16, 0.0000
9.27, 0.0000
9.36, 0.0000
9.47, 0.0000
9.57, 0.0000
9.67, 0.0000
9.77, 0.0000
9.87, 0.0000
9.98, 0.0000
10.08, 0.0000
10.18, 0.0000
10.28, 0.0000
10.38, 0.0000
10.48, 0.0000
10.58, 0.0000
10.68, 0.0000
10.78, 0.0000
10.89, 0.0000
10.99, 0.0000
11.08, 0.0000
11.19, 0.0000
11.29, 0.0000
11.40, 0.0000
11.50, 0.0000
11.60, 0.0000
11.69, 0.0000
11.80, 0.0000
11.90, 0.0000
12.00, 0.0000
12.10, 0.0000
12.20, 0.0000
12.30, 0.0000
12.40, 0.0000
12.51, 0.0000
12.61, 0.0000
12.71, 0.0000
12.81, 0.0000
12.91, 0.0000
13.01, 0.0000
13.11, 0.0000
13.21, 0.0000
13.31, 0.0000
13.41, 0.0000
13.51, 0.0000
13.62, 0.0000
13.72, 0.0000
13.82, 0.0000
13.92, 0.0000
14.02, 0.0000
14.12, 0.0000
14.23, 0.0000
14.33, 0.0000
14.43, 0.0000
14.53, 0.0000
14.63, 0.0000
14.73, 0.0000
14.83, 0.0000
14.93, 0.0000
15.04, 0.0000
15.13, 0.0000
15.24, 0.0000
15.34, 0.0000
15.44, 0.0000
15.54, 0.0000
15.64, 0.0000
15.74, 0.0000
15.84, 0.0000
15.94, 0.0000
16.04, 0.0000
16.14, 0.0000
16.25, 0.0000
16.35, 0.0000
16.45, 0.0000
16.56, 0.0000
16.66, 0.0000
16.75, 0.0000
16.86, 0.0000
16.96, 0.0000
17.06, 0.0000
17.16, 0.0000
17.26, 0.0000
17.36, 0.0000
17.46, 0.0000
17.56, 0.0000
17.66, 0.0000
17.76, 0.0000
17.87, 0.0000
17.97, 0.0000
18.07, 0.0000
18.17, 0.0000
18.27, 0.0000
18.37, 0.0000
18.48, 0.0000
18.57, 0.0000
18.68, 0.0000
18.78, 0.0000
18.88, 0.0000
18.98, 0.0000
19.08, 0.0000
19.18, 0.0000
19.28, 0.0000
19.39, 0.0000
19.48, 0.0000
19.59, 0.0000
19.69, 0.0000
19.79, 0.0000
19.89, 0.0000
19.99, 0.0000
20.09, 0.0000
20.19, 0.0000
20.30, 0.0000
20.39, 0.0000
20.50, 0.0000
20.60, 0.0000
20.70, 0.0000
20.80, 0.0000
20.91, 0.0000
21.01, 0.0000
21.10, 0.0000
21.21, 0.0000
21.31, 0.0000
21.41, 0.0000
21.51, 0.0000
21.61, 0.0000
21.71, 0.0000
21.82, 0.0000
21.92, 0.0000
22.01, 0.0000
22.11, 0.0000
22.22, 0.0000
22.32, 0.0000
22.42, 0.0000
22.52, 0.0000
22.62, 0.0000
22.72, 0.0000
22.82, 0.0000
22.93, 0.0000
23.03, 0.0000
23.13, 0.0000
23.23, 0.0000
23.33, 0.0000
23.43, 0.0000
23.53, 0.0000
23.63, 0.0000
23.73, 0.0000
23.84, 0.0000
23.94, 0.0000
24.04, 0.0000
24.14, 0.0000
24.24, 0.0000
24.34, 0.0000
24.45, 0.0000
24.55, 0.0000
24.64, 0.0000
24.75, 0.0000
24.85, 0.0000
24.95, 0.0000
25.05, 0.0000
25.15, 0.0000
25.26, 0.0000
25.35, 0.0000
25.45, 0.0000
25.56, 0.0000
25.66, 0.0000
25.76, 0.0000
25.86, 0.0000
25.96, 0.0000
26.06, 0.0000
26.16, 0.0000
26.26, 0.0000
26.37, 0.0000
26.47, 0.0000
26.57, 0.0000
26.67, 0.0000
26.77, 0.0000
26.87, 0.0000
26.97, 0.0000
27.08, 0.0000
27.18, 0.0000
27.28, 0.0000
27.41, 0.0000
27.48, 0.0000
27.58, 0.0000
27.68, 0.0000
27.78, 0.0000
27.88, 0.0000
27.99, 0.0000
28.09, 0.0000
28.19, 0.0000
28.29, 0.0000
28.39, 0.0000
28.49, 0.0000
28.59, 0.0000
28.69, 0.0000
28.80, 0.0000
28.90, 0.0000
29.00, 0.0000
29.10, 0.0000
29.20, 0.0000
29.30, 0.0000
29.40, 0.0000
29.50, 0.0000
29.61, 0.0000
29.71, 0.0000
29.81, 0.0000
29.91, 0.0000
30.01, 0.0000
30.11, 0.0000
30.21, 0.0000
30.31, 0.0000
30.42, 0.0000
30.52, 0.0000
30.61, 0.0000
30.72, 0.0000
30.82, 0.0000
30.92, 0.0000
31.03, 0.0000
31.12, 0.0000
31.23, 0.0000
31.32, 0.0000
31.43, 0.0000
31.52, 0.0000
31.63, 0.0000
31.73, 0.0000
31.83, 0.0000
31.93, 0.0000
32.04, 0.0000
